Unnamed: 0,name,force,level,mechanic,equipment,primaryMuscles,secondaryMuscles,instructions,category,images,id
387,Knee Across The Body,static,beginner,,body only,glutes,"abductors, lower back","""Berbaringlah di lantai dengan kaki kanan lurus. Tekuk kaki kiri Anda dan turunkan di seluruh tubuh Anda, Pegang lutut ke bawah ke arah lantai dengan tangan kanan Anda. (Lutut tidak perlu menyentuh lantai jika Anda kencang.) "", Tempatkan lengan kiri Anda dengan nyaman di samping Anda dan putar kepala ke kiri. Bayangkan Anda memiliki berat yang terikat pada tulang ekor Anda. Biarkan tulang ekor Anda jatuh kembali ke lantai saat dada Anda mencapai arah yang berlawanan untuk meregangkan punggung bawah Anda. Beralih sisi.",stretching,"0.jpg, 1.jpg",Knee_Across_The_Body
388,Knee Circles,pull,beginner,compound,body only,calves,"hamstrings, quadriceps","Berdiri dengan kaki Anda bersama -sama dan tangan di pinggang Anda., Sekarang gerakkan lutut Anda dalam gerakan melingkar saat Anda bernafas dengan normal., Ulangi untuk jumlah pengulangan yang disarankan.",stretching,"0.jpg, 1.jpg",Knee_Circles
389,Knee/Hip Raise On Parallel Bars,pull,beginner,isolation,other,abdominals,,"Posisikan tubuh Anda di bangku naik kaki vertikal sehingga lengan Anda beristirahat di atas bantalan di sebelah batang tubuh dan berpegangan pada pegangan. Lengan Anda akan ditekuk pada sudut 90 derajat., Dorongan harus lurus dengan punggung bawah ditekan ke bantalan mesin dan kaki yang diperpanjang menunjuk ke arah lantai. Ini akan menjadi posisi awal Anda., Sekarang saat Anda bernafas, Angkat kaki Anda saat Anda menyimpannya. Lanjutkan gerakan ini sampai kaki Anda kira -kira sejajar dengan lantai dan kemudian tahan kontraksi sedetik. Kiat: Jangan gunakan momentum atau berayun saat Anda melakukan latihan ini., Perlahan kembali ke posisi awal saat Anda bernafas., Ulangi untuk jumlah pengulangan yang disarankan.",strength,"0.jpg, 1.jpg",Knee_Hip_Raise_On_Parallel_Bars
390,Knee Tuck Jump,push,beginner,compound,body only,hamstrings,"abductors, adductors, calves, glutes, quadriceps","Mulailah dalam posisi berdiri yang nyaman dengan lutut sedikit ditekuk. Pegang tangan Anda di depan Anda, Palms turun dengan ujung jari Anda bersama -sama setinggi dada. Ini akan menjadi posisi awal Anda., Dengan cepat turun menjadi seperempat squat dan segera meledak ke atas. Berkendaralah ke arah dada, mencoba menyentuh mereka ke telapak tangan., Melompat setinggi yang Anda bisa, mengangkat lutut Anda, dan kemudian pastikan tanah yang baik akan memperluas kembali kaki Anda, Menyerap dampak melalui BE memungkinkan lutut untuk kembali.",plyometrics,"0.jpg, 1.jpg",Knee_Tuck_Jump
391,Kneeling Arm Drill,pull,beginner,,body only,shoulders,abdominals,"Bor ini membantu meningkatkan efisiensi lengan selama lari. Mulailah berlutut, Kaki kiri di depan, Lutut kanan ke bawah. Berikan tekanan melalui tumit depan untuk menjaga glutes dan paha belakang Anda diaktifkan., Mulailah dengan menghalangi lengan dalam waktu lama, pendulum seperti ayunan. Tutup sudut lengan, memblokir dengan tangan seperti yang Anda lakukan saat jogging, maju ke lari dan akhirnya sprint., Segera setelah tangan Anda melewati pinggul, Akselerasi mereka ke depan selama gerakan berlari untuk menggerakkan mereka secepat mungkin., Ganti lutut dan ulangi.",plyometrics,"0.jpg, 1.jpg",Kneeling_Arm_Drill
392,Kneeling Cable Crunch With Alternating Oblique Twists,pull,beginner,isolation,cable,abdominals,,"Hubungkan lampiran tali ke kabel katrol tinggi dan posisikan tikar di lantai di depannya., Ambil tali dengan kedua tangan dan berlutut kira -kira dua kaki ke belakang dari menara., Posisikan tali di belakang kepala Anda dengan tangan di telinga Anda., Jaga tangan Anda di tempat yang sama, Kontrak perut Anda dan tarik ke bawah pada tali dalam gerakan berderak sampai siku Anda mencapai lutut., Berhentilah sebentar di bagian bawah dan bangkit dengan cara yang lambat dan terkontrol sampai Anda mencapai posisi awal., Ulangi gerakan ke bawah yang sama sampai Anda berada di tengah jalan, pada saat itu Anda akan mulai memutar salah satu siku ke lutut yang berlawanan., Lagi, Berhentilah sebentar di bagian bawah dan bangkit dengan cara yang lambat dan terkontrol sampai Anda mencapai posisi awal., Ulangi gerakan yang sama seperti sebelumnya, Tapi ganti siku yang lain ke lutut yang berlawanan., Lanjutkan serangkaian gerakan ini ke kegagalan.",strength,"0.jpg, 1.jpg",Kneeling_Cable_Crunch_With_Alternating_Oblique_Twists
393,Kneeling Cable Triceps Extension,push,intermediate,isolation,cable,triceps,,"Tempatkan bangku ke depan di depan mesin katrol tinggi., Tahan lampiran lurus di atas kepala Anda dengan tangan sekitar 6 inci terpisah dengan telapak tangan Anda menghadap ke bawah., Menghadap jauh dari mesin dan berlutut., Tempatkan kepala Anda dan bagian belakang lengan atas Anda di bangku. Siku Anda harus ditekuk dengan lengan bawah yang menunjuk ke arah katrol tinggi. Ini akan menjadi posisi awal Anda., Sambil menjaga lengan atas Anda tetap dekat dengan kepala Anda setiap saat dengan siku tetap, Tekan bilah dalam gerakan setengah lingkaran sampai siku terkunci dan lengan Anda sejajar dengan lantai. Kontrak trisep keras dan pertahankan posisi ini sebentar. Buang napas saat Anda melakukan gerakan ini., Perlahan kembali ke posisi awal saat Anda bernafas., Ulangi untuk jumlah pengulangan yang disarankan.",strength,"0.jpg, 1.jpg",Kneeling_Cable_Triceps_Extension
394,Kneeling Forearm Stretch,static,beginner,isolation,body only,forearms,,"Mulailah dengan berlutut di atas tikar dengan telapak tangan rata dan jari -jari Anda menunjuk ke arah lutut Anda., Perlahan bersandar menjaga telapak tangan Anda tetap rata di lantai sampai Anda merasakan peregangan di pergelangan tangan dan lengan Anda. Tahan selama 20-30 detik.",stretching,"0.jpg, 1.jpg",Kneeling_Forearm_Stretch
395,Kneeling High Pulley Row,pull,beginner,compound,cable,lats,"biceps, middle back","Pilih berat yang sesuai menggunakan katrol yang berada di atas kepala Anda. Pasang tali ke kabel dan berlutut beberapa meter jauhnya, memegang tali di depan Anda dengan kedua lengan terulur. Ini akan menjadi posisi awal Anda., Memulai gerakan dengan melenturkan siku dan sepenuhnya menarik bahu Anda, Tarik tali ke arah dada bagian atas dengan siku keluar., Setelah berhenti sebentar, Perlahan kembali ke posisi awal.",strength,"0.jpg, 1.jpg",Kneeling_High_Pulley_Row
396,Kneeling Hip Flexor,static,beginner,isolation,body only,quadriceps,quadriceps,"Berlutut di atas tikar dan bawa lutut kanan ke atas sehingga bagian bawah kaki Anda ada di lantai dan rentangkan kaki kiri di belakang Anda sehingga bagian atas kaki Anda ada di lantai., Geser berat badan Anda ke depan sampai Anda merasakan peregangan di pinggul Anda. Tahan selama 15 detik, Kemudian ulangi untuk sisi Anda yang lain.",stretching,"0.jpg, 1.jpg",Kneeling_Hip_Flexor
397,Kneeling Jump Squat,push,expert,compound,barbell,glutes,"calves, hamstrings, quadriceps","Mulailah berlutut di lantai dengan barbel yang disemprot di bagian belakang bahu Anda, Atau Anda dapat menggunakan berat badan Anda untuk latihan ini. Ini dapat dilakukan di dalam rak daya untuk membuat mudah terungkap., Duduklah dengan pinggul Anda sampai glutes menyentuh kaki Anda, Menjaga kepala dan dada Anda., Meledak dengan pinggul Anda, Menghasilkan daya yang cukup untuk mendarat dengan kaki rata di lantai., Lanjutkan dengan jongkok dengan mengemudi melalui tumit Anda dan memperpanjang lutut untuk mencapai posisi berdiri.",olympic weightlifting,"0.jpg, 1.jpg",Kneeling_Jump_Squat
398,Kneeling Single-Arm High Pulley Row,pull,beginner,compound,cable,lats,"biceps, middle back","Pasang satu pegangan ke katrol tinggi dan buat pilihan berat badan Anda., Berlutut di depan menara kabel, Mengambil kabel dengan satu tangan dengan lengan Anda terulur. Ini akan menjadi posisi awal Anda., Dimulai dengan telapak tangan Anda yang menghadap ke depan, Tarik beban ke batang tubuh Anda dengan melenturkan siku dan menarik kembali pisau bahu. Saat Anda melakukannya, Putar pergelangan tangan sehingga pada saat penyelesaian gerakan, Telapak tangan Anda sekarang menghadap Anda., Setelah jeda singkat, kembali ke posisi awal.",strength,"0.jpg, 1.jpg",Kneeling_Single-Arm_High_Pulley_Row
399,Kneeling Squat,push,intermediate,compound,barbell,glutes,"abdominals, hamstrings, lower back","Atur bilah ke ketinggian yang tepat di rak daya. Berlutut di belakang bar; Mungkin bermanfaat untuk meletakkan tikar ke bawah lutut Anda. Meluncur di bawah bar, Racking di bagian belakang bahu Anda. Bilah bahu Anda harus ditarik kembali dan bar ketat di punggung Anda. Membuka berat badan., Dengan kepala Anda melihat ke depan, Duduklah dengan pantat Anda sampai Anda menyentuh betis Anda., Membalikkan mosi, mengembalikan tubuh ke posisi tegak.",powerlifting,"0.jpg, 1.jpg",Kneeling_Squat
400,Landmine 180s,pull,beginner,compound,barbell,abdominals,"glutes, lower back, shoulders","Posisikan bar ke ranjau darat atau jangkar dengan aman di sudut. Muat bilah ke berat yang sesuai., Angkat bar dari lantai, Membawanya ke ketinggian bahu dengan kedua tangan dengan tangan terulur di depan Anda. Mengadopsi sikap lebar. Ini akan menjadi posisi awal Anda., Lakukan gerakan dengan memutar batang dan pinggul saat Anda mengayunkan berat sampai ke satu sisi. Jaga agar lengan Anda terulur sepanjang latihan., Membalikkan gerakan untuk mengayunkan berat sampai ke sisi yang berlawanan., Lanjutkan mengganti gerakan sampai set selesai.",strength,"0.jpg, 1.jpg",Landmine_180s
401,Landmine Linear Jammer,push,intermediate,compound,barbell,shoulders,"abdominals, calves, chest, hamstrings, quadriceps, triceps","Memposisikan bar ke ranjau darat atau, kekurangan satu, jangkar dengan aman di sudut. Muat bilah ke berat yang sesuai dan posisikan lampiran pegangan pada bilah., Angkat bar dari lantai, mengambil pegangan ke bahu Anda. Ini akan menjadi posisi awal Anda., Dalam sikap atletis, Jongkok dengan melenturkan pinggul dan mengatur pinggul Anda, Menjaga lengan Anda tetap lentur., Membalikkan gerakan dengan memanjang dengan kuat melalui pinggul, lutut, dan pergelangan kaki, sementara juga memperpanjang siku untuk meluruskan lengan. Gerakan ini harus dilakukan secara eksplosif, Keluar dari squat ke ekstensi penuh seterat mungkin., Kembali ke posisi awal.",strength,"0.jpg, 1.jpg",Landmine_Linear_Jammer
402,Lateral Bound,push,beginner,compound,body only,adductors,"abductors, calves, glutes, hamstrings, quadriceps","Asumsikan posisi setengah jongkok menghadap 90 derajat dari arah perjalanan Anda. Ini akan menjadi posisi awal Anda., Biarkan kaki timah Anda melakukan penyeimbang ke dalam saat Anda menggeser berat badan Anda ke kaki luar., Segera dorong dan rentangkan, mencoba untuk terikat ke samping sejauh mungkin., Setelah mendarat, Segera dorong ke arah yang berlawanan, Kembali ke posisi awal asli Anda., Lanjutkan bolak -balik untuk beberapa pengulangan.",plyometrics,"0.jpg, 1.jpg",Lateral_Bound
403,Lateral Box Jump,push,beginner,compound,other,adductors,"abductors, calves, glutes, hamstrings, quadriceps","Asumsikan posisi berdiri yang nyaman, dengan kotak pendek diposisikan di sebelah Anda. Ini akan menjadi posisi awal Anda., Dengan cepat mencelupkan ke dalam seperempat squat untuk memulai refleks peregangan, dan segera membalikkan arah untuk melompat dan ke samping., Bawa lutut Anda cukup tinggi untuk memastikan kaki Anda memiliki izin yang baik di atas kotak., Mendarat di tengah kotak, Menggunakan kaki Anda untuk menyerap dampaknya., Dengan hati -hati melompat ke sisi lain dari kotak, dan terus bolak -balik untuk beberapa pengulangan.",plyometrics,"0.jpg, 1.jpg",Lateral_Box_Jump
404,Lateral Cone Hops,push,beginner,compound,other,adductors,"abductors, calves, glutes, hamstrings, quadriceps","Posisikan sejumlah kerucut berturut -turut terpisah beberapa kaki., Berdiri di sebelah ujung kerucut, menghadap 90 derajat ke arah perjalanan. Ini akan menjadi posisi awal Anda., Mulailah lompatan dengan mencelupkan dengan lutut untuk memulai refleks peregangan, dan segera membalikkan arah untuk mendorong dari tanah, Melompat dan menyamping di atas kerucut., Gunakan kaki Anda untuk menyerap dampak saat mendarat, dan melambung ke lompatan berikutnya, melanjutkan deretan kerucut.",plyometrics,"0.jpg, 1.jpg",Lateral_Cone_Hops
405,Lateral Raise - With Bands,push,beginner,isolation,bands,shoulders,,"""Untuk memulai, Berdirilah di pita olahraga sehingga ketegangan dimulai dengan lengan. Pegang pegangan menggunakan pegangan pronasi (telapak tangan menghadap paha Anda) yang sedikit kurang dari lebar bahu. Pegangan harus beristirahat di sisi paha Anda. Lengan Anda harus diperpanjang dengan sedikit tikungan di siku dan punggung Anda harus lurus. Ini akan menjadi posisi awal Anda. "", Gunakan bahu samping Anda untuk mengangkat pegangan ke samping saat Anda menghembuskan napas. Terus angkat pegangan sampai sedikit di atas paralel. Kiat: Saat Anda mengangkat pegangan, Sedikit memiringkan tangan seolah -olah Anda menuangkan air dan menjaga lengan Anda terulur. Juga, Simpan stasioner tubuh Anda dan jeda sejenak di bagian atas gerakan., Turunkan pegangan kembali perlahan ke posisi awal. Tarik napas saat Anda melakukan bagian gerakan ini., Ulangi untuk jumlah pengulangan yang disarankan.",strength,"0.jpg, 1.jpg",Lateral_Raise_-_With_Bands
406,Latissimus Dorsi-SMR,static,beginner,isolation,foam roll,lats,,"Saat berbaring di lantai, Tempatkan gulungan busa di bawah punggung Anda dan ke satu sisi, Tepat di belakang lubang lengan Anda. Ini akan menjadi posisi awal Anda., Jaga agar lengan sisi terentang di belakang dan ke sisi Anda saat Anda mengalihkan berat badan Anda ke lat Anda, Menjaga tubuh bagian atas dari tanah. Tahan selama 10-30 detik, dan beralih sisi.",stretching,"0.jpg, 1.jpg",Latissimus_Dorsi-SMR
407,Leg-Over Floor Press,push,intermediate,compound,kettlebells,chest,"shoulders, triceps","Berbaring di lantai dengan satu kettlebell di dada Anda, memegangnya dengan pegangan. Perpanjang kaki di sisi kerja di atas kaki di sisi yang tidak bekerja. Lengan Anda yang bebas dapat diperpanjang ke sisi Anda untuk dukungan., Tekan Kettlebll ke posisi yang terkunci., Turunkan berat sampai siku menyentuh tanah, Menjaga kettlebell di atas siku. Ulangi untuk jumlah pengulangan yang diinginkan.",strength,"0.jpg, 1.jpg",Leg-Over_Floor_Press
408,Leg-Up Hamstring Stretch,push,beginner,isolation,body only,hamstrings,,"Berbaring telentang, Tekuk satu lutut, Dan letakkan kaki itu rata di lantai untuk menstabilkan tulang belakang Anda., ""Perpanjang kaki yang lain di udara. Jika Anda kencang, Anda tidak akan bisa meluruskannya. Tidak apa -apa. Perpanjang lutut sehingga sol kaki yang diangkat menghadap langit -langit (atau sedekat mungkin). "", Perlahan -lahan luruskan kaki sebanyak mungkin dan kemudian tarik kaki ke arah hidung Anda. Beralih sisi.",stretching,"0.jpg, 1.jpg",Leg-Up_Hamstring_Stretch
409,Leg Extensions,push,beginner,isolation,machine,quadriceps,,"Untuk latihan ini Anda perlu menggunakan mesin ekstensi kaki. Pertama -tama pilih berat Anda dan duduk di atas mesin dengan kaki Anda di bawah bantalan (kaki mengarah ke depan) dan tangan memegang batang samping. Ini akan menjadi posisi awal Anda. Kiat: Anda harus menyesuaikan bantalan sehingga jatuh di atas kaki bagian bawah (tepat di atas kaki Anda). Juga, Pastikan kaki Anda membentuk sudut 90 derajat antara kaki bawah dan atas. Jika sudutnya kurang dari 90 derajat maka itu berarti lutut berada di ujung kaki yang pada gilirannya menciptakan tekanan yang tidak semestinya pada sendi lutut. Jika mesin dirancang seperti itu, Baik mencari mesin lain atau pastikan bahwa ketika Anda mulai mengeksekusi latihan, Anda berhenti turun begitu Anda menekan sudut 90 derajat., Menggunakan quadriceps Anda, Perpanjang kaki Anda maksimal saat Anda menghembuskan napas. Pastikan bahwa seluruh tubuh tetap diam di kursi. Berhentilah satu detik pada posisi yang dikontrak., Perlahan turunkan berat kembali ke posisi semula saat Anda menghirup, memastikan bahwa Anda tidak melewati batas sudut 90 derajat., Ulangi untuk jumlah yang disarankan.",strength,"0.jpg, 1.jpg",Leg_Extensions
410,Leg Lift,push,beginner,isolation,body only,glutes,hamstrings,"Sambil berdiri tegak dengan kedua kaki di samping satu sama lain di sekitar lebar bahu, Ambil permukaan yang kokoh seperti sisi rak jongkok atau bagian atas kursi untuk menguatkan diri Anda dan menjaga keseimbangan., Dengan atau tanpa berat pergelangan kaki, Angkat satu kaki di belakang Anda seolah -olah melakukan ikal kaki tetapi berdiri sambil menjaga kaki yang lain lurus. Bernapaslah saat Anda melakukan gerakan ini., Perlahan bawa kaki yang terangkat kembali ke lantai saat Anda bernafas., Ulangi untuk jumlah pengulangan yang disarankan., Ulangi gerakan dengan kaki yang berlawanan.",strength,"0.jpg, 1.jpg",Leg_Lift
411,Leg Press,push,beginner,compound,machine,quadriceps,"calves, glutes, hamstrings","Menggunakan mesin tekan kaki, Duduklah di atas mesin dan letakkan kaki Anda di platform langsung di depan Anda dengan sikap medium (lebar bahu). (Catatan: Untuk keperluan diskusi ini, kami akan menggunakan sikap menengah yang dijelaskan di atas yang menargetkan pengembangan secara keseluruhan; namun Anda dapat memilih salah satu dari tiga sikap yang dijelaskan di bagian penentuan posisi kaki)., Turunkan batang pengaman yang menahan platform tertimbang di tempatnya dan tekan platform sampai ke atas sampai kaki Anda sepenuhnya diperpanjang di depan Anda. Kiat: Pastikan Anda tidak mengunci lutut. Batang tubuh dan kaki Anda harus membuat sudut 90 derajat yang sempurna. Ini akan menjadi posisi awal Anda., Saat Anda menghirup, Perlahan turunkan platform sampai kaki atas dan bawah Anda membuat sudut 90 derajat., Mendorong terutama dengan tumit kaki Anda dan menggunakan paha depan kembali ke posisi awal saat Anda menghembuskan napas., Ulangi untuk jumlah pengulangan yang disarankan dan pastikan untuk mengunci pin pengaman dengan benar setelah Anda selesai. Anda tidak ingin platform itu jatuh pada Anda sepenuhnya dimuat.",strength,"0.jpg, 1.jpg",Leg_Press
412,Leg Pull-In,pull,beginner,compound,body only,abdominals,,"Berbaringlah di tikar olahraga dengan kaki Anda terulur dan tangan Anda baik -baik saja menghadap ke bawah di sebelah Anda atau di bawah glutes Anda. Kiat: Preferensi saya adalah dengan tangan di sebelah saya. Ini akan menjadi posisi awal Anda., Tekuk lutut Anda dan tarik paha atas Anda ke bagian tengah tubuh saat Anda bernafas. Lanjutkan gerakan sampai lutut Anda berada di sekitar tingkat dada. Kontrak perut Anda saat Anda menjalankan gerakan ini dan tahan sejenak di atas. Kiat: Saat Anda melakukan gerakan, Kaki bawah (betis) harus selalu tetap sejajar dengan lantai., Kembali ke posisi awal saat Anda menghirup., Ulangi untuk jumlah pengulangan yang disarankan.",strength,"0.jpg, 1.jpg",Leg_Pull-In
413,Leverage Chest Press,push,beginner,compound,machine,chest,"shoulders, triceps","Muat beban yang sesuai ke pin dan sesuaikan kursi untuk tinggi badan Anda. Pegangan harus berada di dekat bagian bawah atau tengah dada di awal gerakan., Dada dan kepala Anda harus naik dan pisau bahu Anda ditarik kembali. Ini akan menjadi posisi awal Anda., Tekan pegangan ke depan dengan memanjang melalui siku., Setelah jeda singkat di atas, mengembalikan berat tepat di atas posisi awal, Menjaga ketegangan pada otot dengan tidak mengembalikan berat badan sampai berhenti sampai set selesai.",strength,"0.jpg, 1.jpg",Leverage_Chest_Press
414,Leverage Deadlift,pull,beginner,compound,machine,quadriceps,"glutes, hamstrings","Muat pin ke berat yang sesuai. Posisikan diri Anda langsung di antara pegangan. Pegang pegangan bawah dengan pegangan yang nyaman, Dan kemudian turunkan pinggul Anda saat Anda menarik napas. Nantikan dengan kepala Anda dan jaga agar dada Anda tetap tinggi. Ini akan menjadi posisi awal Anda., Kembalikan berat ke posisi awal.",strength,"0.jpg, 1.jpg",Leverage_Deadlift
415,Leverage Decline Chest Press,push,beginner,compound,machine,chest,"shoulders, triceps","Muat beban yang sesuai ke pin dan sesuaikan kursi untuk tinggi badan Anda. Pegangan harus berada di dekat bagian bawah dada di awal gerakan. Dada dan kepala Anda harus naik dan pisau bahu Anda ditarik kembali. Ini akan menjadi posisi awal Anda., Tekan pegangan ke depan dengan memanjang melalui siku., Setelah jeda singkat di atas, mengembalikan berat tepat di atas posisi awal, Menjaga ketegangan pada otot dengan tidak mengembalikan berat badan sampai berhenti sampai set selesai.",strength,"0.jpg, 1.jpg",Leverage_Decline_Chest_Press
416,Leverage High Row,pull,beginner,compound,machine,middle back,lats,"Muat beban yang sesuai ke pin dan sesuaikan ketinggian kursi sehingga Anda bisa mencapai pegangan di atas Anda. Sesuaikan bantalan lutut untuk membantu menjaga Anda. Pegang pegangan dengan pegangan pronasi. Ini akan menjadi posisi awal Anda., Tarik pegangan ke arah tubuh Anda, menarik kembali bahu Anda saat Anda melenturkan siku., Berhentilah di bagian bawah gerakan, dan kemudian perlahan -lahan mengembalikan pegangan ke posisi awal., Untuk beberapa pengulangan, Hindari benar -benar mengembalikan berat badan untuk berhenti untuk menjaga ketegangan pada otot -otot yang sedang dikerjakan.",strength,"0.jpg, 1.jpg",Leverage_High_Row
417,Leverage Incline Chest Press,push,beginner,compound,machine,chest,"shoulders, triceps","Muat beban yang sesuai ke pin dan sesuaikan kursi untuk tinggi badan Anda. Pegangan harus berada di dekat bagian atas dada di awal gerakan. Dada dan kepala Anda harus naik dan pisau bahu Anda ditarik kembali. Ini akan menjadi posisi awal Anda., Tekan pegangan ke depan dengan memanjang melalui siku., Setelah jeda singkat di atas, mengembalikan berat tepat di atas posisi awal, Menjaga ketegangan pada otot dengan tidak mengembalikan berat badan sampai berhenti sampai set selesai.",strength,"0.jpg, 1.jpg",Leverage_Incline_Chest_Press
418,Leverage Iso Row,pull,beginner,compound,machine,lats,"biceps, middle back","Muat beban yang sesuai ke pin dan sesuaikan ketinggian kursi sehingga pegangan berada pada tingkat dada. Pegang pegangan dengan pegangan netral atau pronasi. Ini akan menjadi posisi awal Anda., Tarik pegangan ke arah tubuh Anda, menarik kembali bahu Anda saat Anda melenturkan siku., Berhentilah di bagian bawah gerakan, dan kemudian perlahan -lahan mengembalikan pegangan ke posisi awal. Untuk beberapa pengulangan, Hindari benar -benar mengembalikan berat badan untuk berhenti untuk menjaga ketegangan pada otot -otot yang sedang dikerjakan.",strength,"0.jpg, 1.jpg",Leverage_Iso_Row
419,Leverage Shoulder Press,push,beginner,compound,machine,shoulders,triceps,"Muat beban yang sesuai ke pin dan sesuaikan kursi untuk tinggi badan Anda. Pegangan harus berada di dekat bagian atas bahu di awal gerakan. Dada dan kepala Anda harus naik dan pegangan dipegang dengan pegangan pronasi. Ini akan menjadi posisi awal Anda., Tekan pegangan ke atas dengan memanjang melalui siku., Setelah jeda singkat di atas, mengembalikan bobot tepat di atas posisi awal, Menjaga ketegangan pada otot dengan tidak mengembalikan berat badan sampai berhenti sampai set selesai.",strength,"0.jpg, 1.jpg",Leverage_Shoulder_Press
420,Leverage Shrug,pull,beginner,isolation,machine,traps,forearms,"Muat pin ke berat yang sesuai. Posisikan diri Anda langsung di antara pegangan., Pegang pegangan atas dengan cengkeraman yang nyaman, Dan kemudian turunkan pinggul Anda saat Anda menarik napas. Nantikan dengan kepala Anda dan jaga agar dada Anda tetap tinggi., Berkendaralah melalui lantai dengan tumit Anda, Memperluas pinggul dan lutut saat Anda naik ke posisi berdiri. Jaga lengan Anda lurus sepanjang gerakan, Finishing dengan bahu Anda kembali. Ini akan menjadi posisi awal Anda., Angkat beban dengan mengangkat bahu ke arah telinga Anda, bergerak lurus ke atas dan ke bawah., Berhentilah di bagian atas gerakan, dan kemudian mengembalikan berat ke posisi awal.",strength,"0.jpg, 1.jpg",Leverage_Shrug
421,Linear 3-Part Start Technique,push,beginner,compound,body only,hamstrings,"calves, quadriceps","Bor ini membantu Anda mempercepat secepat mungkin menjadi sprint dari berhenti mati. Ini membantu untuk menggunakan garis untuk memulai. Mulailah dengan dua kaki di telepon. Tempatkan kaki kiri Anda dengan jari kaki di sebelah pergelangan kaki kanan Anda. Tempatkan kaki kanan Anda 4-6 inci di belakang kiri., Tempatkan tangan kanan Anda ke telepon, Dan hal -hal membawa hidung Anda dekat dengan lutut kiri Anda., Jongkok saat Anda bersandar Foward, Kepala Anda lebih rendah dari pinggul dan berat badan Anda dimuat ke kaki kiri. Ini akan menjadi posisi awal Anda., Angkat tangan kiri Anda sehingga sejajar dengan tanah, menunjuk di belakang Anda, dan meledak saat siap.",plyometrics,"0.jpg, 1.jpg",Linear_3-Part_Start_Technique
422,Linear Acceleration Wall Drill,,beginner,compound,body only,hamstrings,"calves, glutes, quadriceps","Bersandar pada sekitar 45 derajat di dinding. Kaki Anda harus bersama, Glutes dikontrak., Mulailah dengan mengangkat lutut kanan Anda dengan cepat, berhenti, dan kemudian mengendarainya langsung ke tanah., Beralih kaki, mengangkat lutut yang berlawanan, dan kemudian menyerang tanah lurus ke bawah., Ulangi sekali lagi dengan kaki kanan Anda, Dan begitu kaki kanan menghantam tanah memalu mereka dengan cepat, Bergantian kiri dan kanan secepat mungkin.",plyometrics,"0.jpg, 1.jpg",Linear_Acceleration_Wall_Drill
423,Linear Depth Jump,push,intermediate,compound,other,quadriceps,"calves, glutes, hamstrings","Anda akan membutuhkan dua kotak atau bangku yang berjarak beberapa kaki dari satu sama lain. Mulailah dengan berdiri di satu kotak menghadap ke arah platform lain., Untuk memulai gerakan, Turun ke bawah dengan lembut di antara platform Anda, Membiarkan lutut dan pinggul melenturkan., Membalikkan mosi dengan meledak, Memperpanjang melalui pinggul, lutut, dan pergelangan kaki untuk melompat ke platform lain., Mendarat dengan lembut, asborbing dampak melalui kaki.",plyometrics,"0.jpg, 1.jpg",Linear_Depth_Jump
424,Log Lift,push,intermediate,compound,other,shoulders,"abdominals, chest, glutes, hamstrings, lower back, middle back, quadriceps, traps, triceps","Mulailah berdiri dengan log di depan Anda. Pegang pegangan, dan mulai membersihkan log. Saat Anda membungkuk untuk memulai pembersihan, mencoba untuk mendapatkan log setinggi mungkin, menariknya ke dada Anda. Perpanjang melalui pinggul dan lutut untuk membawanya untuk menyelesaikan pembersihan., Dorong kepala Anda ke belakang dan lihat ke atas, Membuat rak di dada Anda untuk mengistirahatkan log. Mulailah pers dengan mencelupkan, sedikit melenturkan lutut dan membalikkan gerakan. Push pers ini akan menghasilkan momentum untuk memulai log bergerak secara vertikal. Lanjutkan dengan memperluas melalui siku untuk menekan log di atas kepala Anda. Tidak ada aturan ketat tentang bentuk, Jadi gunakan teknik apa pun yang paling efisien dengan Anda. Saat log ditekan, Pastikan Anda mendorong kepala melalui setiap pengulangan, melihat ke depan., Ulangi sebanyak mungkin. Upaya untuk mengendalikan keturunan log saat dikembalikan ke tanah.",strongman,"0.jpg, 1.jpg",Log_Lift
425,London Bridges,pull,intermediate,compound,other,lats,"biceps, forearms, middle back","Pasang tali pendakian ke balok tinggi atau anggota silang. Di bawahnya, Pastikan bilah mesin Smith terkunci di tempatnya dengan safeties dan tidak dapat bergerak. Atau, Kotak yang aman juga dapat digunakan., Berdiri di bar, menggunakan tali untuk menyeimbangkan diri sendiri. Ini akan menjadi posisi awal Anda., Menjaga tubuh Anda tetap lurus, Bersandar kembali dan turunkan tubuh Anda dengan tangan perlahan -lahan dengan tali dengan tali. Lanjutkan sampai Anda tegak lurus terhadap tanah., Menjaga tubuh Anda tetap lurus, membalikkan mosi, Menggerakkan tangan kembali ke posisi awal.",strength,"0.jpg, 1.jpg",London_Bridges
426,Looking At Ceiling,static,beginner,isolation,body only,quadriceps,,"Berlutut, memegang tumit Anda dengan kedua tangan., Angkat bokong Anda ke atas dan ke depan sambil membawa kepala kembali untuk melihat ke atas langit -langit, untuk memberikan lengkungan di punggung Anda.",stretching,"0.jpg, 1.jpg",Looking_At_Ceiling
